Gene stable ID	Anopheles gambiae Ensembl Gene ID	Anopheles gambiae % Identity
AALB003980	AGAP010465	62
AALB003974	AGAP012119	79
AALB003978	AGAP010464	70
AALB003975	AGAP010462	91
AALB003977		
AALB003981	AGAP028198	48
AALB003988	AGAP010471	98
AALB003997	AGAP010480	60
AALB004002		
AALB004000	AGAP010483	79
AALB004009	AGAP010345	74
AALB004011		
AALB004013	AGAP011355	83
AALB004017	AGAP011351	86
AALB004028	AGAP011340	89
AALB004030		
AALB003927	AGAP003077	70
AALB003930	AGAP003073	89
AALB004034	AGAP011120	62
AALB004037	AGAP011122	77
AALB004038	AGAP011123	73
AALB004054	AGAP012126	80
AALB004054	AGAP012127	83
AALB004049	AGAP012131	64
AALB004048		
AALB004044		
AALB004046		
AALB004043		
AALB004063	AGAP011538	59
AALB004069	AGAP011545	66
AALB004070	AGAP027998	28
AALB004075	AGAP004855	48
AALB004076		
AALB004074	AGAP004855	47
AALB003941	AGAP011374	100
AALB003940	AGAP010830	11
AALB003944	AGAP011377	39
AALB003943	AGAP011377	46
AALB003949		
AALB003950		
AALB003947	AGAP011379	25
AALB014380		
AALB014381		
AALB014379	AGAP001610	60
AALB014382		
AALB014383		
AALB014384		
AALB014385		
AALB014386	AGAP027994	63
AALB014387		
AALB014388		
AALB014389		
AALB014390		
AALB014391		
AALB014392		
AALB014393		
AALB014394		
AALB014395		
AALB014396		
AALB014397	AGAP011790	34
AALB014400		
AALB014401		
AALB014398	AGAP012133	7
AALB014399		
AALB006973		
AALB007031		
AALB007030	AGAP011186	82
AALB007048	AGAP011166	99
AALB007056	AGAP011159	93
AALB007056	AGAP011160	2
AALB007069		
AALB006980	AGAP010938	51
AALB007103	AGAP011728	89
AALB006975	AGAP011697	25
AALB006975	AGAP010934	32
AALB007119		
AALB006978	AGAP010936	98
AALB006993	AGAP010961	64
AALB006987		
AALB007004	AGAP010341	70
AALB007008		
AALB007007	AGAP010342	76
AALB007006		
AALB007005		
AALB007018		
AALB007011	AGAP009049	51
AALB007011	AGAP006191	46
AALB006954	AGAP010459	86
AALB006961	AGAP010883	76
AALB007028	AGAP011187	87
AALB007046	AGAP011168	83
AALB007052		
AALB007058	AGAP011157	79
AALB007064	AGAP011146	79
AALB007064	AGAP011148	79
AALB007061		
AALB006970		
AALB007073	AGAP012710	98
AALB007073	AGAP012202	98
AALB007073	AGAP012555	64
AALB007073	AGAP012894	98
AALB007073	AGAP012201	98
AALB007073	AGAP012199	98
AALB007076	AGAP012710	98
AALB007076	AGAP012202	98
AALB007076	AGAP012555	64
AALB007076	AGAP012894	98
AALB007076	AGAP012201	98
AALB007076	AGAP012199	98
AALB007076	AGAP003912	96
AALB007076	AGAP012560	97
AALB007076	AGAP012871	99
AALB007084		
AALB007090		
AALB007092		
AALB007093		
AALB007102		
AALB007099	AGAP011731	80
AALB007100	AGAP011730	100
AALB007114		
AALB007115	AGAP028137	85
AALB007115	AGAP028156	86
AALB007115	AGAP028018	52
AALB007115	AGAP028178	86
AALB007116	AGAP011481	34
AALB007118		
AALB006982	AGAP010940	80
AALB006986	AGAP010956	65
AALB006988	AGAP010957	54
AALB006988	AGAP012844	82
AALB006957	AGAP010454	72
AALB006953	AGAP010460	81
AALB006956	AGAP010456	78
AALB006958	AGAP010453	70
AALB006959	AGAP010885	83
AALB006955	AGAP010458	71
AALB007023	AGAP011189	89
AALB007025		
AALB007027		
AALB006965	AGAP010878	89
AALB006967	AGAP010876	96
AALB006968	AGAP011132	78
AALB006966	AGAP010877	82
AALB006969	AGAP010875	93
AALB007029		
AALB006974	AGAP010933	87
AALB006963	AGAP010881	87
AALB006960		
AALB007036	AGAP011178	69
AALB007033	AGAP011183	60
AALB007050	AGAP011165	89
AALB007043	AGAP011172	89
AALB007045	AGAP011169	79
AALB007040	AGAP011175	65
AALB007040	AGAP011176	54
AALB007044	AGAP012286	36
AALB007044	AGAP011171	62
AALB007047	AGAP011167	76
AALB007038		
AALB007051	AGAP011164	30
AALB007041	AGAP011174	99
AALB007059	AGAP011156	78
AALB007054	AGAP011161	92
AALB007055	AGAP011159	5
AALB007055	AGAP011160	65
AALB007053	AGAP011163	94
AALB007066	AGAP012865	54
AALB007066	AGAP011150	78
AALB007066	AGAP012770	81
AALB007067	AGAP011144	79
AALB007063	AGAP011147	82
AALB007063	AGAP011145	82
AALB007065	AGAP011149	95
AALB007062	AGAP011151	93
AALB007062	AGAP011152	90
AALB007071	AGAP011142	90
AALB007078		
AALB007070	AGAP011143	88
AALB007080	AGAP012193	80
AALB007082	AGAP010841	75
AALB007079	AGAP012194	84
AALB006977	AGAP010935	89
AALB007087	AGAP012047	75
AALB007085	AGAP012520	44
AALB007085	AGAP010838	45
AALB007089	AGAP011742	63
AALB007089	AGAP011741	61
AALB007086	AGAP012046	85
AALB007088	AGAP011743	65
AALB007094	AGAP011737	33
AALB007101	AGAP000908	59
AALB007097	AGAP011733	98
AALB007106	AGAP011726	95
AALB007108	AGAP011490	79
AALB007105	AGAP011727	52
AALB007109	AGAP011489	82
AALB007110	AGAP011487	56
AALB006983	AGAP010941	61
AALB006984	AGAP010943	64
AALB006992	AGAP010960	71
AALB006991	AGAP010959	90
AALB006989	AGAP010958	95
AALB006996	AGAP010331	84
AALB006997		
AALB007003	AGAP010340	66
AALB007000	AGAP010336	94
AALB007002	AGAP010339	67
AALB007010	AGAP010344	85
AALB007015	AGAP007686	75
AALB007013	AGAP000374	39
AALB007021	AGAP010691	90
AALB007020	AGAP028154	100
AALB007019	AGAP008798	63
AALB007022		
AALB007024	AGAP011188	43
AALB007026	AGAP013242	44
AALB007026	AGAP013436	45
AALB006971	AGAP010874	83
AALB006964	AGAP010879	84
AALB006972	AGAP010932	68
AALB006962	AGAP010882	32
AALB007035	AGAP011179	74
AALB007032	AGAP011184	60
AALB007034	AGAP011180	73
AALB007037		
AALB007049	AGAP013395	17
AALB007039	AGAP011177	35
AALB007042	AGAP011173	93
AALB007057	AGAP011158	85
AALB007060	AGAP011155	38
AALB007068	AGAP006103	22
AALB007077	AGAP012195	70
AALB007074	AGAP003911	85
AALB007072		
AALB007075	AGAP003911	85
AALB007081	AGAP013395	19
AALB006976	AGAP011697	4
AALB006976	AGAP010934	5
AALB006979	AGAP010937	77
AALB007083		
AALB007091		
AALB007096	AGAP011736	47
AALB007095	AGAP011736	38
AALB007098	AGAP011732	94
AALB007107		
AALB007104		
AALB007112	AGAP011483	66
AALB007113		
AALB007111	AGAP011485	55
AALB007117	AGAP000468	21
AALB006981	AGAP010939	75
AALB006985	AGAP010954	44
AALB006990		
AALB006995	AGAP010963	93
AALB006995	AGAP010965	90
AALB006994	AGAP010964	68
AALB006998	AGAP010334	49
AALB006999	AGAP010335	84
AALB007001	AGAP010338	88
AALB007009	AGAP005072	11
AALB007016		
AALB007017	AGAP007639	17
AALB007014	AGAP010694	96
AALB007012		
AALB014628		
AALB014629		
AALB014630		
AALB014631		
AALB014634		
AALB014635	AGAP005571	12
AALB014635	AGAP005572	10
AALB014635	AGAP005573	9
AALB014632		
AALB014633		
AALB014636		
AALB014637	AGAP013395	17
AALB014638		
AALB014639		
AALB014641	AGAP013395	12
AALB014640		
AALB014642		
AALB009622	AGAP002058	73
AALB009624		
AALB009625	AGAP002053	67
AALB009618	AGAP002062	91
AALB009620	AGAP002060	88
AALB009623	AGAP002054	88
AALB009617	AGAP002066	99
AALB009557	AGAP003945	53
AALB009632	AGAP003863	59
AALB009635	AGAP003867	91
AALB009638	AGAP003870	80
AALB009639		
AALB009637	AGAP003869	75
AALB009631	AGAP003861	72
AALB009633		
AALB009646	AGAP002246	59
AALB009645	AGAP002245	91
AALB009640	AGAP003871	47
AALB009650	AGAP002242	84
AALB009652	AGAP002239	66
AALB009653	AGAP002238	19
AALB009656	AGAP002235	58
AALB009662	AGAP002232	49
AALB009658	AGAP002233	73
AALB009665	AGAP002228	95
AALB009666	AGAP002227	85
AALB009664	AGAP002229	43
AALB009674		
AALB009677		
AALB009672	AGAP002613	91
AALB009675		
AALB009676		
AALB009668	AGAP002224	78
AALB009673	AGAP002612	60
AALB009682	AGAP002608	72
AALB009684	AGAP002606	91
AALB009680	AGAP002609	78
AALB009685	AGAP002605	46
AALB009694	AGAP003573	86
AALB009691	AGAP002600	79
AALB009693	AGAP003574	69
AALB009692	AGAP003576	88
AALB009696	AGAP003572	41
AALB009563	AGAP003942	58
AALB009562	AGAP003943	79
AALB009559	AGAP003944	74
AALB009699	AGAP004579	77
AALB009703	AGAP013461	54
AALB009701	AGAP004578	74
AALB009701	AGAP012634	74
AALB009698	AGAP004581	87
AALB009698	AGAP012891	95
AALB009698	AGAP004583	97
AALB009698	AGAP004582	80
AALB009713	AGAP013018	96
AALB009705		
AALB009710		
AALB009716	AGAP013496	56
AALB009716	AGAP013260	1
AALB009720	AGAP002462	90
AALB009736	AGAP002272	66
AALB009718		
AALB009723	AGAP002464	72
AALB009732	AGAP002475	29
AALB009729	AGAP002472	91
AALB009731	AGAP002474	92
AALB009565		
AALB009564	AGAP003941	92
AALB009567	AGAP003938	74
AALB009567	AGAP003937	63
AALB009574	AGAP002540	55
AALB009578	AGAP002535	77
AALB009577	AGAP002538	72
AALB009588	AGAP001325	87
AALB009585		
AALB009587	AGAP001324	73
AALB009590		
AALB009591	AGAP001329	89
AALB009599	AGAP001462	57
AALB009601	AGAP001464	57
AALB009605	AGAP004488	80
AALB009600	AGAP001463	78
AALB009609	AGAP004484	96
AALB009607	AGAP004486	90
AALB009603	AGAP004492	68
AALB009626	AGAP002052	57
AALB009621	AGAP002059	56
AALB009634	AGAP003865	74
AALB009628	AGAP003857	100
AALB009627	AGAP003856	90
AALB009641	AGAP012642	67
AALB009641	AGAP003667	67
AALB009643	AGAP002244	78
AALB009642		
AALB009649		
AALB009651	AGAP002241	39
AALB009657	AGAP002234	76
AALB009659	AGAP012965	46
AALB009660		
AALB009667	AGAP002226	79
AALB009671	AGAP002614	58
AALB009670	AGAP002222	53
AALB009679		
AALB009690	AGAP002594	21
AALB009688	AGAP002602	70
AALB009695		
AALB009702	AGAP013199	62
AALB009561		
AALB009560		
AALB009712	AGAP002458	54
AALB009708	AGAP004573	44
AALB009709	AGAP004574	88
AALB009717	AGAP002461	87
AALB009719		
AALB009721	AGAP002463	73
AALB009724	AGAP002466	100
AALB009728	AGAP002470	82
AALB009726	AGAP002468	94
AALB009725	AGAP002467	86
AALB009734	AGAP002270	57
AALB009733	AGAP002476	40
AALB009566	AGAP003940	57
AALB009566	AGAP013032	37
AALB009569	AGAP002546	61
AALB009572	AGAP002543	75
AALB009573	AGAP002542	54
AALB009580	AGAP001315	60
AALB009575	AGAP002541	73
AALB009586	AGAP001322	68
AALB009594		
AALB009593	AGAP001330	65
AALB009596	AGAP001333	73
AALB009595		
AALB009602	AGAP001466	74
AALB009602	AGAP001467	45
AALB009604	AGAP004491	48
AALB009598	AGAP001460	92
AALB009606	AGAP004487	89
AALB009612	AGAP003156	66
AALB009610	AGAP004483	78
AALB009636	AGAP003868	39
AALB009648	AGAP002248	69
AALB009655	AGAP002236	48
AALB009654		
AALB009555		
AALB009663	AGAP002231	35
AALB009678	AGAP002610	42
AALB009683	AGAP002607	41
AALB009727	AGAP002469	72
AALB009737	AGAP002273	6
AALB009735		
AALB009558		
AALB009581	AGAP001316	63
AALB009589	AGAP001328	65
AALB009592		
AALB009611	AGAP003157	61
AALB009619	AGAP002061	93
AALB009630	AGAP012718	98
AALB009630	AGAP003860	66
AALB009629		
AALB009556		
AALB009644	AGAP002243	70
AALB009647	AGAP002247	87
AALB009661	AGAP002232	27
AALB009669	AGAP002223	83
AALB009681	AGAP013336	82
AALB009689	AGAP002601	65
AALB009686	AGAP002604	59
AALB009687	AGAP013296	97
AALB009700	AGAP004577	36
AALB009697	AGAP004581	92
AALB009697	AGAP012891	95
AALB009697	AGAP004583	97
AALB009697	AGAP004582	91
AALB009704	AGAP004576	88
AALB009711	AGAP013053	33
AALB009706	AGAP004575	41
AALB009707	AGAP000666	41
AALB009714	AGAP013297	75
AALB009715	AGAP002460	74
AALB009730	AGAP002473	98
AALB009722	AGAP002465	70
AALB009570	AGAP002544	51
AALB009568	AGAP002547	95
AALB009571		
AALB009576	AGAP002539	78
AALB009579	AGAP001313	85
AALB009583	AGAP001319	76
AALB009584	AGAP001320	84
AALB009582	AGAP001318	86
AALB009597	AGAP001334	62
AALB009608	AGAP004485	92
AALB009614	AGAP003154	85
AALB009613	AGAP003155	76
AALB009616	AGAP002064	36
AALB009615	AGAP002063	80
AALB014873		
AALB014874		
AALB014876		
AALB014875		
AALB014877		
AALB014880		
AALB014879		
AALB014878		
AALB014881		
AALB014882		
AALB014883		
AALB014884		
AALB007190	AGAP004115	63
AALB007136	AGAP002012	73
AALB007216		
AALB007214	AGAP003508	84
AALB007215		
AALB007219	AGAP003509	50
AALB007244		
AALB007258	AGAP003972	59
AALB007267		
AALB007265		
AALB007286	AGAP002822	36
AALB007148	AGAP012983	69
AALB007159	AGAP003191	92
AALB007172	AGAP013352	48
AALB007173	AGAP003527	67
AALB007173	AGAP012869	73
AALB007179	AGAP002404	90
AALB007183	AGAP002411	31
AALB007184		
AALB007130		
AALB007132	AGAP002016	85
AALB007125	AGAP003092	90
AALB007195	AGAP013081	65
AALB007217	AGAP001085	13
AALB007205	AGAP003496	34
AALB007209	AGAP012561	83
AALB007209	AGAP003502	40
AALB007135	AGAP002013	66
AALB007231	AGAP003524	59
AALB007225	AGAP003515	80
AALB007222	AGAP003512	82
AALB007241	AGAP013412	90
AALB007242		
AALB007235		
AALB007128	AGAP002018	25
AALB007246		
AALB007127	AGAP000425	66
AALB007252	AGAP003981	72
AALB007248		
AALB007261	AGAP003969	74
AALB007271	AGAP003134	90
AALB007273	AGAP003136	85
AALB007274		
AALB007269	AGAP003132	41
AALB007285	AGAP003396	81
AALB007282		
AALB007141	AGAP002007	82
AALB007143	AGAP002005	68
AALB007145	AGAP013300	51
AALB007150	AGAP002000	96
AALB007157	AGAP003193	86
AALB007166	AGAP002480	70
AALB007168	AGAP002482	84
AALB007171	AGAP013486	56
AALB007123	AGAP003094	77
AALB007121	AGAP003726	68
AALB007124	AGAP003093	88
AALB007188	AGAP004117	19
AALB007182	AGAP002409	78
AALB007176	AGAP002401	95
AALB007186	AGAP002412	83
AALB007187	AGAP003556	94
AALB007175	AGAP003525	66
AALB007180	AGAP002405	64
AALB007174	AGAP003526	65
AALB007193	AGAP004113	82
AALB007196	AGAP004110	84
AALB007194	AGAP004112	65
AALB007198	AGAP004108	83
AALB007200	AGAP003490	83
AALB007201	AGAP003492	89
AALB007126	AGAP012731	99
AALB007126	AGAP002019	99
AALB007134	AGAP002014	79
AALB007131	AGAP002017	73
AALB007202	AGAP003493	89
AALB007129	AGAP013249	51
AALB007204	AGAP013468	53
AALB007213	AGAP003507	90
AALB007210	AGAP003503	78
AALB007210	AGAP012868	79
AALB007212	AGAP003506	88
AALB007207	AGAP003499	79
AALB007218		
AALB007220	AGAP003510	71
AALB007223	AGAP003513	82
AALB007230	AGAP012974	49
AALB007227	AGAP003517	91
AALB007229	AGAP003521	81
AALB007224	AGAP012746	87
AALB007224	AGAP003514	90
AALB007226	AGAP013231	86
AALB007226	AGAP012662	77
AALB007237	AGAP002947	40
AALB007239	AGAP002945	78
AALB007234	AGAP002398	86
AALB007238	AGAP013516	76
AALB007236	AGAP002397	85
AALB007240	AGAP002943	60
AALB007243		
AALB007233	AGAP013481	83
AALB007254	AGAP003977	68
AALB007251	AGAP003980	88
AALB007249	AGAP003984	85
AALB007253	AGAP003979	62
AALB007257	AGAP003974	82
AALB007256	AGAP003975	75
AALB007256	AGAP012890	81
AALB007260	AGAP003970	78
AALB007263	AGAP003967	51
AALB007259	AGAP003971	67
AALB007280	AGAP004372	92
AALB007277	AGAP003139	59
AALB007277	AGAP012938	72
AALB007268	AGAP003131	54
AALB007275	AGAP013465	79
AALB007276	AGAP003138	44
AALB007283	AGAP003400	77
AALB007284	AGAP003397	81
AALB007138	AGAP002011	88
AALB007144		
AALB007151	AGAP001999	81
AALB007152	AGAP003201	89
AALB007152	AGAP003202	90
AALB007146	AGAP002004	51
AALB007153	AGAP012981	88
AALB007153	AGAP003200	93
AALB007147	AGAP002003	65
AALB007161	AGAP003189	62
AALB007162	AGAP012901	87
AALB007162	AGAP003187	69
AALB007154	AGAP003198	90
AALB007156	AGAP003194	73
AALB007158	AGAP003192	99
AALB007155	AGAP013219	65
AALB007155	AGAP003196	65
AALB007155	AGAP003195	75
AALB007155	AGAP003197	75
AALB007155	AGAP001097	51
AALB007160	AGAP003190	64
AALB007169	AGAP002484	78
AALB007169	AGAP002483	66
AALB007170	AGAP002485	18
AALB007170	AGAP013525	64
AALB007165	AGAP003185	82
AALB007167	AGAP002481	96
AALB007164		
AALB007120	AGAP028189	35
AALB007122	AGAP003725	89
AALB007178	AGAP002403	93
AALB007185		
AALB007177	AGAP002402	65
AALB007181	AGAP002407	81
AALB007189		
AALB007191	AGAP004114	43
AALB007192	AGAP004114	45
AALB007203		
AALB007197	AGAP004109	77
AALB007197	AGAP012802	78
AALB007199	AGAP003489	65
AALB007211	AGAP003504	56
AALB007133	AGAP002015	98
AALB007206	AGAP003498	72
AALB007208	AGAP003501	90
AALB007221	AGAP012821	58
AALB007232	AGAP002400	78
AALB007228	AGAP003519	54
AALB007247		
AALB007245	AGAP002942	15
AALB007250	AGAP003983	38
AALB007255	AGAP003976	60
AALB007262	AGAP003968	73
AALB007264	AGAP003966	79
AALB007139	AGAP002009	90
AALB007140	AGAP002008	67
AALB007137	AGAP013483	62
AALB007137	AGAP013169	63
AALB007266	AGAP003965	13
AALB007272	AGAP003135	82
AALB007278	AGAP003140	92
AALB007279	AGAP012860	84
AALB007279	AGAP004371	76
AALB007270	AGAP003133	69
AALB007281	AGAP004373	93
AALB007142	AGAP002006	81
AALB007149		
AALB007163	AGAP003186	97
AALB014643		
AALB014645		
AALB014646		
AALB014649		
AALB014648		
AALB014644		
AALB014650		
AALB014651		
AALB014647		
AALB003218		
AALB003224		
AALB003223	AGAP010884	18
AALB003234	AGAP006246	92
AALB003242	AGAP006255	57
AALB003251	AGAP006262	45
AALB003254	AGAP006263	96
AALB003273	AGAP006277	49
AALB003271		
AALB003272		
AALB003270	AGAP006274	47
AALB003278		
AALB003205	AGAP005183	33
AALB003190		
AALB003246	AGAP006257	52
AALB003237	AGAP006250	65
AALB003231	AGAP006243	89
AALB003257	AGAP006266	34
AALB003259	AGAP006268	77
AALB003260		
AALB003266		
AALB003265	AGAP006271	57
AALB003268	AGAP006275	43
AALB003198	AGAP005171	82
AALB003203	AGAP005182	48
AALB003204		
AALB003206	AGAP005185	61
AALB003214	AGAP005202	100
AALB003189	AGAP005163	76
AALB003215	AGAP005206	40
AALB003217	AGAP005208	79
AALB003219	AGAP004900	75
AALB003221		
AALB003239	AGAP006253	48
AALB003230	AGAP006242	68
AALB003243	AGAP006256	82
AALB003232	AGAP006244	89
AALB003244		
AALB003235	AGAP006247	78
AALB003241	AGAP007120	92
AALB003233	AGAP006245	91
AALB003236	AGAP006249	92
AALB003240	AGAP006254	95
AALB003256	AGAP006265	69
AALB003258	AGAP006267	54
AALB003253		
AALB003255	AGAP006264	98
AALB003247	AGAP006258	83
AALB003248	AGAP006260	40
AALB003250	AGAP006261	88
AALB003274	AGAP006278	65
AALB003275	AGAP006279	79
AALB003277	AGAP006281	67
AALB003279	AGAP006282	37
AALB003280		
AALB003281	AGAP013248	63
AALB003282	AGAP006283	93
AALB003195	AGAP005168	81
AALB003199	AGAP005174	93
AALB003201	AGAP005176	72
AALB003210	AGAP005193	76
AALB003212	AGAP005198	60
AALB003208	AGAP005189	64
AALB003208	AGAP005190	67
AALB003213	AGAP005200	81
AALB003188	AGAP005162	59
AALB003220		
AALB003216	AGAP005207	79
AALB003222	AGAP004902	13
AALB003226	AGAP004852	93
AALB003225	AGAP004854	76
AALB003238	AGAP006252	45
AALB003245		
AALB003227		
AALB003228		
AALB003229	AGAP000647	73
AALB003229	AGAP004851	71
AALB003252		
AALB003249		
AALB003262	AGAP006275	36
AALB003263	AGAP006269	69
AALB003261		
AALB003264		
AALB003267	AGAP006273	83
AALB003269	AGAP006275	33
AALB003276	AGAP006280	76
AALB003191	AGAP005164	34
AALB003194	AGAP005166	65
AALB003196	AGAP005169	65
AALB003197	AGAP005170	91
AALB003192	AGAP005165	5
AALB003193	AGAP005165	47
AALB003202	AGAP005178	70
AALB003200	AGAP005175	93
AALB003209	AGAP005192	64
AALB003207	AGAP005187	35
AALB003211	AGAP005197	98
AALB014320	AGAP013395	18
AALB014319		
AALB014322		
AALB014321	AGAP005191	83
AALB014323	AGAP006275	29
AALB002898		
AALB002893	AGAP004654	85
AALB002887		
AALB002901	AGAP004659	59
AALB002907		
AALB002906		
AALB002804	AGAP003665	67
AALB002810	AGAP013065	81
AALB002824	AGAP003463	48
AALB002826		
AALB002832	AGAP003447	67
AALB002839		
AALB002847		
AALB002863	AGAP004322	75
AALB002866	AGAP013088	40
AALB002867	AGAP013026	60
AALB002883	AGAP004642	52
AALB002876		
AALB002880	AGAP001801	64
AALB002881	AGAP004641	75
AALB002800	AGAP011252	1
AALB002803	AGAP003669	55
AALB002903	AGAP004660	68
AALB002905	AGAP004661	44
AALB002830	AGAP003453	89
AALB002870	AGAP013125	30
AALB002900	AGAP013157	6
AALB002899	AGAP004662	5
AALB002805	AGAP003666	66
AALB002902	AGAP001560	13
AALB002904		
AALB002908	AGAP004664	63
AALB002913	AGAP004665	65
AALB002912	AGAP012937	30
AALB002915	AGAP012433	85
AALB002915	AGAP012434	78
AALB002909	AGAP004667	50
AALB002914	AGAP012519	60
AALB002916	AGAP010295	82
AALB002917	AGAP010295	3
AALB002910		
AALB002911	AGAP004670	65
AALB002937	AGAP012633	0
AALB002938	AGAP012633	75
AALB002921	AGAP010302	48
AALB002934	AGAP010279	78
AALB002935	AGAP010280	84
AALB002936	AGAP010281	93
AALB002932	AGAP010277	79
AALB002939	AGAP010283	58
AALB002918	AGAP010294	78
AALB002940	AGAP010282	64
AALB002919	AGAP010293	90
AALB002922		
AALB002923	AGAP012499	55
AALB002925	AGAP012485	74
AALB002920	AGAP010303	51
AALB002933	AGAP010278	78
AALB002931	AGAP010276	97
AALB002927	AGAP010292	17
AALB002926	AGAP010292	59
AALB002929	AGAP012488	8
AALB002929	AGAP012452	11
AALB002928	AGAP012479	65
AALB002928	AGAP012480	85
AALB002811	AGAP002313	31
AALB002812	AGAP003470	70
AALB002812	AGAP012549	81
AALB002814	AGAP003468	83
AALB002819		
AALB002821		
AALB002822	AGAP003096	22
AALB002817	AGAP003465	87
AALB002835	AGAP003441	61
AALB002833	AGAP003446	34
AALB002834	AGAP003445	76
AALB002836	AGAP003440	68
AALB002827	AGAP003457	61
AALB002843	AGAP003432	73
AALB002842	AGAP003434	75
AALB002840	AGAP003438	44
AALB002837	AGAP003439	54
AALB002838		
AALB002849	AGAP003425	91
AALB002854	AGAP003083	58
AALB002855	AGAP013368	62
AALB002861	AGAP002354	91
AALB002852	AGAP003080	41
AALB002856	AGAP002361	97
AALB002858	AGAP002358	95
AALB002873	AGAP001796	81
AALB002874	AGAP001797	30
AALB002869	AGAP012456	74
AALB002869	AGAP001793	71
AALB002869	AGAP012876	68
AALB002875		
AALB002865	AGAP004324	72
AALB002864	AGAP004323	59
AALB002879	AGAP001800	85
AALB002882	AGAP013063	75
AALB002877	AGAP001798	80
AALB002885	AGAP004644	63
AALB002895	AGAP004653	91
AALB002888	AGAP004657	93
AALB002891	AGAP003858	88
AALB002891	AGAP012793	95
AALB002892	AGAP004655	79
AALB002806	AGAP003478	94
AALB002807	AGAP003477	96
AALB002930	AGAP010275	70
AALB002924	AGAP010298	100
AALB002808	AGAP003476	84
AALB002809	AGAP003475	76
AALB002813	AGAP003469	78
AALB002813	AGAP012548	52
AALB002823	AGAP012787	76
AALB002823	AGAP003464	78
AALB002820		
AALB002818	AGAP013494	65
AALB002825	AGAP003459	90
AALB002815	AGAP003472	89
AALB002815	AGAP003467	89
AALB002816	AGAP003466	85
AALB002828	AGAP003454	72
AALB002829	AGAP013293	68
AALB002831	AGAP003449	85
AALB002848	AGAP003428	41
AALB002846	AGAP012744	91
AALB002846	AGAP003429	93
AALB002841	AGAP003437	99
AALB002844	AGAP003431	81
AALB002845	AGAP003430	82
AALB002851	AGAP003078	86
AALB002850	AGAP003424	98
AALB002859	AGAP002357	93
AALB002860	AGAP002355	93
AALB002857	AGAP013402	62
AALB002857	AGAP002360	59
AALB002862	AGAP013475	90
AALB002862	AGAP004321	88
AALB002853	AGAP003081	90
AALB002871	AGAP001792	96
AALB002868	AGAP001794	53
AALB002872	AGAP001791	91
AALB002884	AGAP004643	89
AALB002886	AGAP004645	92
AALB002878	AGAP001799	94
AALB002802	AGAP003674	6
AALB002801	AGAP003671	51
AALB002894	AGAP004651	44
AALB002896	AGAP004649	30
AALB002897	AGAP004648	37
AALB002889	AGAP002756	64
AALB002890	AGAP004656	39
AALB014271		
AALB014272		
AALB014273	AGAP012917	88
AALB014273	AGAP012967	92
AALB014282		
AALB014283		
AALB014274		
AALB014275		
AALB014281		
AALB014287		
AALB014286	AGAP013302	34
AALB014277		
AALB014280		
AALB014278		
AALB014279		
AALB014276		
AALB014284		
AALB014285		
AALB014288		
AALB014290		
AALB014289	AGAP004647	11
AALB014291		
AALB014292		
AALB014293		
AALB014295		
AALB014296		
AALB014294		
AALB007567	AGAP010421	96
AALB007609	AGAP010444	63
AALB007607	AGAP010442	87
AALB007617	AGAP005469	40
AALB007619		
AALB007575		
AALB007586		
AALB007582	AGAP010405	88
AALB007596	AGAP028139	92
AALB007601		
AALB007569	AGAP010420	88
AALB007612	AGAP009078	24
AALB007614	AGAP010450	86
AALB007623	AGAP000304	78
AALB007579	AGAP010410	28
AALB007585	AGAP010425	74
AALB007585	AGAP010424	72
AALB007590	AGAP010429	97
AALB007595	AGAP028121	89
AALB007595	AGAP028203	89
AALB007597		
AALB007570	AGAP010419	73
AALB007570	AGAP012773	70
AALB007605	AGAP010441	90
AALB007610	AGAP010445	85
AALB007573	AGAP010415	81
AALB007574	AGAP010413	66
AALB007572	AGAP010416	91
AALB007620	AGAP010887	81
AALB007616	AGAP027995	60
AALB007613	AGAP010449	85
AALB007613	AGAP010447	82
AALB007621		
AALB007583	AGAP010404	97
AALB007581	AGAP010407	64
AALB007584	AGAP000444	75
AALB007587	AGAP010426	67
AALB007589	AGAP010428	89
AALB007588	AGAP010427	85
AALB007598	AGAP010435	97
AALB007602	AGAP010437	79
AALB007603	AGAP010438	80
AALB007604	AGAP010439	92
AALB007571	AGAP010418	87
AALB007568	AGAP010406	62
AALB007606		
AALB007608	AGAP010443	86
AALB007611	AGAP010446	68
AALB007615	AGAP010451	86
AALB007622	AGAP010890	75
AALB007622	AGAP010889	82
AALB007618	AGAP010886	71
AALB007578	AGAP010411	71
AALB007576		
AALB007577		
AALB007580	AGAP010408	87
AALB007591	AGAP010430	80
AALB007592	AGAP010431	91
AALB007600	AGAP010819	26
AALB007594	AGAP010432	88
AALB007593		
AALB007599	AGAP010436	88
AALB014687		
AALB014689		
AALB014688		
AALB014691		
AALB014690		
AALB014693		
AALB014694		
AALB014692		
AALB007527		
AALB007547	AGAP010391	91
AALB007540	AGAP010318	95
AALB007540	AGAP012525	98
AALB007465		
AALB007464		
AALB007487		
AALB007484	AGAP004718	36
AALB007513	AGAP004791	60
AALB007513	AGAP004789	60
AALB007456		
AALB007529	AGAP004682	79
AALB007530	AGAP010690	3
AALB007536	AGAP001057	67
AALB007551	AGAP010388	28
AALB007553	AGAP028223	92
AALB007521	AGAP004801	82
AALB007517	AGAP004797	73
AALB007518	AGAP004798	93
